Year,Country,Rider,Height (Meters),Weight (Kilograms),BMI
1991,Italy,Claudio Chiappucci,1.72,67,22.64737696
1992,Italy,Claudio Chiappucci,1.72,67,22.64737696
1993,Switzerland,Tony Rominger,1.75,65,21.2244898
1994,France,Richard Virenque,1.79,65,20.28650791
1995,France,Richard Virenque,1.79,65,20.28650791
1996,France,Richard Virenque,1.79,65,20.28650791
1997,France,Richard Virenque,1.79,65,20.28650791
1998,France,Christophe Rinero,1.72,65,21.97133586
1999,France,Richard Virenque,1.79,65,20.28650791
2000,Colombia,Santiago Botero,1.75,75,24.48979592
2001,France,Laurent Jalabert,1.76,66,21.30681818
2002,France,Laurent Jalabert,1.76,66,21.30681818
2003,France,Richard Virenque,1.79,65,20.28650791
2004,France,Richard Virenque,1.79,65,20.28650791
2005,Denmark,Michael Rasmussen,1.74,58,19.15708812
2006,Denmark,Michael Rasmussen,1.74,58,19.15708812
2007,Colombia,Mauricio Soler,1.9,70,19.39058172
2008,Spain,Carlos Sastre,1.71,61,20.86111966
2009,Spain,Egoi Martínez,1.81,70,21.36686914
2010,France,Anthony Charteau,1.75,67,21.87755102
2011,Spain,Samuel Sánchez,1.75,65,21.2244898
2012,France,Thomas Voeckler,1.74,71,23.45091822
2013,Colombia,Nairo Quintana,1.67,59,21.1552942
2014,Poland,Rafał Majka,1.73,62,20.71569381
2015,Great Britain,Chris Froome,1.86,68,19.6554515
2016,Poland,Rafał Majka,1.73,62,20.71569381
2017,France,Warren Barguil,1.83,61,18.21493625
2018,France,Julian Alaphilippe,1.73,62,20.71569381
2019,France,Romain Bardet,1.85,65,18.99196494
2020,Slovenia,Tadej Pogačar,1.76,66,21.30681818
2021,Slovenia,Tadej Pogačar,1.76,66,21.30681818
2022,Denmark,Jonas Vingegaard,1.75,60,19.59183673
2023,Italy,Giulio Ciccone,1.76,58,18.72417355
