Year,Country,Rider,Height (Meters),Weight (Kilograms),BMI
1985,France,Bernard Hinault,1.74,62,20.47826661
1986,United States,Greg LeMond,1.78,67,21.14631991
1987,Ireland,Stephen Roche,1.75,74,24.16326531
1988,Spain,Pedro Delgado,1.71,64,21.88707637
1989,United States,Greg LeMond,1.78,67,21.14631991
1990,United States,Greg LeMond,1.78,67,21.14631991
1991,Spain,Miguel Indurain,1.88,79,22.35174287
1992,Spain,Miguel Indurain,1.88,79,22.35174287
1993,Spain,Miguel Indurain,1.88,79,22.35174287
1994,Spain,Miguel Indurain,1.88,79,22.35174287
1995,Spain,Miguel Indurain,1.88,79,22.35174287
1996,Denmark,Bjarne Riis,1.84,71,20.97117202
1997,Germany,Jan Ullrich,1.83,73,21.79820239
1998,Italy,Marco Pantani,1.72,58,19.605192
1999,United States,Lance Armstrong,1.78,72,22.72440348
2000,United States,Lance Armstrong,1.78,72,22.72440348
2001,United States,Lance Armstrong,1.78,72,22.72440348
2002,United States,Lance Armstrong,1.78,72,22.72440348
2003,United States,Lance Armstrong,1.78,72,22.72440348
2004,United States,Lance Armstrong,1.78,72,22.72440348
2005,United States,Lance Armstrong,1.78,72,22.72440348
2006,Spain,Oscar Pereiro,1.77,67,21.38593635
2007,Spain,Alberto Contador,1.76,61,19.69266529
2008,Spain,Carlos Sastre,1.71,61,20.86111966
2009,Spain,Alberto Contador,1.76,61,19.69266529
2010,Luxembourg,Andy Schleck,1.86,68,19.6554515
2011,Australia,Cadel Evans,1.74,64,21.13885586
2012,Great Britain,Bradley Wiggins,1.9,76,21.05263158
2013,Great Britain,Chris Froome,1.86,68,19.6554515
2014,Italy,Vincenzo Nibali,1.81,65,19.8406642
2015,Great Britain,Chris Froome,1.86,68,19.6554515
2016,Great Britain,Chris Froome,1.86,68,19.6554515
2017,Great Britain,Chris Froome,1.86,68,19.6554515
2018,Great Britain,Geraint Thomas,1.83,71,21.20099137
2019,Colombia,Egan Bernal,1.75,60,19.59183673
2020,Slovenia,Tadej Pogačar,1.76,66,21.30681818
2021,Slovenia,Tadej Pogačar,1.76,66,21.30681818
2022,Denmark,Jonas Vingegaard,1.75,60,19.59183673
2023,Denmark,Jonas Vingegaard,1.75,60,19.59183673
