Year,Country,Rider,Jersey
1903,France,Maurice Garin,Yellow
1904,France,Henri Cornet,Yellow
1905,France,Louis Trousselier,Yellow
1906,France,René Pottier,Yellow
1907,France,Lucien Petit-Breton,Yellow
1908,France,Lucien Petit-Breton,Yellow
1909,Luxembourg,François Faber,Yellow
1910,France,Octave Lapize,Yellow
1911,France,Gustave Garrigou,Yellow
1912,Belgium,Odile Defraye,Yellow
1913,Belgium,Philippe Thys,Yellow
1914,Belgium,Philippe Thys,Yellow
1919,Belgium,Firmin Lambot,Yellow
1920,Belgium,Philippe Thys,Yellow
1921,Belgium,Léon Scieur,Yellow
1922,Belgium,Firmin Lambot,Yellow
1923,France,Henri Pélissier,Yellow
1924,Italy,Ottavio Bottecchia,Yellow
1925,Italy,Ottavio Bottecchia,Yellow
1926,Belgium,Lucien Buysse,Yellow
1927,Luxembourg,Nicolas Frantz,Yellow
1928,Luxembourg,Nicolas Frantz,Yellow
1929,Belgium,Maurice De Waele,Yellow
1930,France,André Leducq,Yellow
1931,France,Antonin Magne,Yellow
1932,France,André Leducq,Yellow
1933,France,Georges Speicher,Yellow
1934,France,Antonin Magne,Yellow
1935,Belgium,Romain Maes,Yellow
1936,Belgium,Sylvère Maes,Yellow
1937,France,Roger Lapébie,Yellow
1938,Italy,Gino Bartali,Yellow
1939,Belgium,Sylvère Maes,Yellow
1947,France,Jean Robic,Yellow
1948,Italy,Gino Bartali,Yellow
1949,Italy,Fausto Coppi,Yellow
1950,Switzerland,Ferdinand Kübler,Yellow
1951,Switzerland,Hugo Koblet,Yellow
1952,Italy,Fausto Coppi,Yellow
1953,France,Louison Bobet,Yellow
1954,France,Louison Bobet,Yellow
1955,France,Louison Bobet,Yellow
1956,France,Roger Walkowiak,Yellow
1957,France,Jacques Anquetil,Yellow
1958,Luxembourg,Charly Gaul,Yellow
1959,Spain,Federico Bahamontes,Yellow
1960,Italy,Gastone Nencini,Yellow
1961,France,Jacques Anquetil,Yellow
1962,France,Jacques Anquetil,Yellow
1963,France,Jacques Anquetil,Yellow
1964,France,Jacques Anquetil,Yellow
1965,Italy,Felice Gimondi,Yellow
1966,France,Lucien Aimar,Yellow
1967,France,Roger Pingeon,Yellow
1968,Netherlands,Jan Janssen,Yellow
1969,Belgium,Eddy Merckx,Yellow
1970,Belgium,Eddy Merckx,Yellow
1971,Belgium,Eddy Merckx,Yellow
1972,Belgium,Eddy Merckx,Yellow
1973,Spain,Luis Ocaña,Yellow
1974,Belgium,Eddy Merckx,Yellow
1975,France,Bernard Thévenet,Yellow
1976,Belgium,Lucien Van Impe,Yellow
1977,France,Bernard Thévenet,Yellow
1978,France,Bernard Hinault,Yellow
1979,France,Bernard Hinault,Yellow
1980,Netherlands,Joop Zoetemelk,Yellow
1981,France,Bernard Hinault,Yellow
1982,France,Bernard Hinault,Yellow
1983,France,Laurent Fignon,Yellow
1984,France,Laurent Fignon,Yellow
1985,France,Bernard Hinault,Yellow
1986,United States,Greg LeMond,Yellow
1987,Ireland,Stephen Roche,Yellow
1988,Spain,Pedro Delgado,Yellow
1989,United States,Greg LeMond,Yellow
1990,United States,Greg LeMond,Yellow
1991,Spain,Miguel Indurain,Yellow
1992,Spain,Miguel Indurain,Yellow
1993,Spain,Miguel Indurain,Yellow
1994,Spain,Miguel Indurain,Yellow
1995,Spain,Miguel Indurain,Yellow
1996,Denmark,Bjarne Riis,Yellow
1997,Germany,Jan Ullrich,Yellow
1998,Italy,Marco Pantani,Yellow
1999,United States,Lance Armstrong,Yellow
2000,United States,Lance Armstrong,Yellow
2001,United States,Lance Armstrong,Yellow
2002,United States,Lance Armstrong,Yellow
2003,United States,Lance Armstrong,Yellow
2004,United States,Lance Armstrong,Yellow
2005,United States,Lance Armstrong,Yellow
2006,Spain,Óscar Pereiro,Yellow
2007,Spain,Alberto Contador,Yellow
2008,Spain,Carlos Sastre,Yellow
2009,Spain,Alberto Contador,Yellow
2010,Luxembourg,Andy Schleck,Yellow
2011,Australia,Cadel Evans,Yellow
2012,Great Britain,Bradley Wiggins,Yellow
2013,Great Britain,Chris Froome,Yellow
2014,Italy,Vincenzo Nibali,Yellow
2015,Great Britain,Chris Froome,Yellow
2016,Great Britain,Chris Froome,Yellow
2017,Great Britain,Chris Froome,Yellow
2018,Great Britain,Geraint Thomas,Yellow
